Court,Date,Session Name,Start Time,End Time,Interval (min),Category,SubCategory,Capacity,Restrictions,Court Cost,Guest Price,Member Price
"Bubble Court 2","2025-06-03","Closed","06:00","06:30","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-03","All court times & fees 2","06:30","08:00","30","0","0","1","Member","0","0","0"
"Bubble Court 2","2025-06-03","Coaching: Francis","08:00","09:00","60","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-03","Adult 2.5","09:00","10:30","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-03","Adult 3.0","10:30","12:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-03","League-D1 Day Team (Hazelmere)","12:00","14:00","120","4000","4010","0","None","0","0","0"
"Bubble Court 2","2025-06-03","Booking","14:00","15:00","60","1000","0","0","None","35","0","0"
"Bubble Court 2","2025-06-03","Coaching: Caglar","15:00","16:00","60","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-03","Junior Develop Orange Ball (Tue/Thu)","16:00","17:30","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-03","Develop U14 Group (Tuesday with Fitness @5-5:30)","17:30","19:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-03","Adult 4.0","19:00","20:30","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-03","Adult 3.0","20:30","22:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-03","Booking","22:00","23:00","60","1000","0","0","None","28","0","0"
"Bubble Court 2","2025-06-03","Closed","23:00","23:30","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-04","Closed","06:00","06:30","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-04","All court times & fees 2","06:30","08:00","30","0","0","1","Member","0","0","0"
"Bubble Court 2","2025-06-04","Booking","08:00","09:00","60","1000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-04","Adult 3.0","09:00","10:30","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-04","Adult 2.5","10:30","12:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-04","All court times & fees 2","12:00","15:00","30","0","0","1","Member","0","0","0"
